"Date","Price","Open","High","Low","Vol.","Change %"
"03/04/2021","1.1991","1.1993","1.2001","1.1984","25.53K","-0.01%"
"03/03/2021","1.1992","1.1987","1.2016","1.1981","24.75K","0.07%"
"03/02/2021","1.1984","1.1996","1.1998","1.1979","27.47K","-0.07%"
"03/01/2021","1.1993","1.1979","1.2014","1.1977","29.15K","0.15%"
"02/26/2021","1.1975","1.2013","1.2016","1.1962","15.56K","-0.30%"
"02/25/2021","1.2011","1.2011","1.2030","1.2007","23.96K","0.02%"
"02/24/2021","1.2009","1.1990","1.2032","1.1990","13.41K","0.19%"
"02/23/2021","1.1986","1.1993","1.2015","1.1983","18.86K","-0.03%"
"02/22/2021","1.1989","1.2006","1.2009","1.1983","28.11K","-0.11%"
"02/19/2021","1.2002","1.1949","1.2020","1.1948","23.74K","0.47%"
"02/18/2021","1.1947","1.2004","1.2028","1.1945","26.50K","-0.42%"
"02/17/2021","1.1997","1.2004","1.2005","1.2004","6.03K","0.00%"
"02/16/2021","1.1996","1.2004","1.2005","1.2003","6.06K","0.00%"
"02/15/2021","1.1997","1.2005","1.2005","1.2004","5.72K","-0.01%"
"02/12/2021","1.1997","1.2005","1.2005","1.2004","4.77K","0.00%"
"02/11/2021","1.1997","1.2004","1.2008","1.2000","5.22K","-0.05%"
"02/10/2021","1.2003","1.2046","1.2058","1.2000","10.81K","-0.34%"
"02/09/2021","1.2044","1.2022","1.2054","1.2010","11.19K","0.25%"
"02/08/2021","1.2014","1.1989","1.2025","1.1988","13.88K","0.22%"
"02/05/2021","1.1988","1.1979","1.2001","1.1959","16.16K","0.08%"
"02/04/2021","1.1979","1.1999","1.2007","1.1975","16.61K","-0.13%"
"02/03/2021","1.1995","1.2006","1.2008","1.1990","20.61K","-0.06%"
"02/02/2021","1.2002","1.1987","1.2023","1.1986","24.54K","0.15%"
"02/01/2021","1.1984","1.2062","1.2063","1.1979","24.46K","-0.60%"
"01/29/2021","1.2056","1.2020","1.2072","1.1986","24.37K","0.31%"
"01/28/2021","1.2019","1.1956","1.2025","1.1936","27.02K","0.55%"
"01/27/2021","1.1954","1.1990","1.2004","1.1949","27.75K","-0.28%"
"01/26/2021","1.1987","1.1963","1.1996","1.1962","27.41K","0.23%"
"01/25/2021","1.1960","1.1960","1.1977","1.1950","27.03K","0.02%"
"01/22/2021","1.1958","1.1996","1.1996","1.1952","21.20K","-0.28%"
"01/21/2021","1.1991","1.1988","1.2007","1.1987","23.15K","0.05%"
"01/20/2021","1.1985","1.1965","1.1995","1.1964","27.99K","0.18%"
"01/19/2021","1.1963","1.1942","1.1968","1.1939","24.05K","0.21%"
"01/18/2021","1.1938","1.1965","1.1971","1.1933","23.82K","-0.21%"
"01/15/2021","1.1963","1.1976","1.1995","1.1963","18.85K","-0.09%"
"01/14/2021","1.1974","1.1988","1.2000","1.1972","19.57K","-0.11%"
"01/13/2021","1.1986","1.1998","1.2024","1.1980","20.29K","-0.05%"
"01/12/2021","1.1993","1.1967","1.2008","1.1966","14.65K","0.24%"
"01/11/2021","1.1964","1.1978","1.1985","1.1943","11.04K","-0.11%"
"01/08/2021","1.1977","1.1971","1.2000","1.1968","11.81K","0.07%"
"01/07/2021","1.1969","1.1997","1.2012","1.1966","9.99K","-0.21%"
"01/06/2021","1.1994","1.2009","1.2018","1.1993","13.33K","-0.11%"
"01/05/2021","1.2007","1.1999","1.2058","1.1984","27.23K","0.09%"
"01/04/2021","1.1996","1.1880","1.2007","1.1878","32.34K","1.02%"
"01/01/2021","1.1875","1.1878","1.1880","1.1878","1.95K","0.00%"
"12/31/2020","1.1875","1.1884","1.1899","1.1824","11.01K","-0.04%"
"12/30/2020","1.1879","1.1873","1.1889","1.1858","17.20K","0.07%"
"12/29/2020","1.1872","1.1865","1.1879","1.1858","25.90K","0.10%"
"12/28/2020","1.1860","1.1852","1.1876","1.1847","23.95K","0.09%"
"12/25/2020","1.1849","1.1874","1.1893","1.1848","15.66K","-0.20%"
"12/24/2020","1.1874","1.1854","1.1879","1.1853","25.67K","0.18%"
"12/23/2020","1.1852","1.1849","1.1868","1.1825","14.97K","0.04%"
"12/22/2020","1.1847","1.1838","1.1855","1.1828","24.57K","0.13%"
"12/21/2020","1.1832","1.1858","1.1859","1.1826","22.79K","-0.17%"
"12/18/2020","1.1852","1.1866","1.1869","1.1844","15.64K","-0.10%"
"12/17/2020","1.1864","1.1867","1.1878","1.1849","13.87K","-0.02%"
"12/16/2020","1.1866","1.1854","1.1883","1.1841","21.52K","0.11%"
"12/15/2020","1.1852","1.1834","1.1857","1.1823","21.20K","0.20%"
"12/14/2020","1.1828","1.1841","1.1866","1.1830","10.08K","-0.08%"
"12/11/2020","1.1838","1.1842","1.1861","1.1835","20.49K","-0.01%"
"12/10/2020","1.1838","1.1846","1.1853","1.1828","12.75K","-0.03%"
"12/09/2020","1.1842","1.1864","1.1891","1.1841","12.28K","-0.15%"
"12/08/2020","1.1860","1.1870","1.1888","1.1852","21.63K","-0.09%"
"12/07/2020","1.1870","1.1867","1.1874","1.1844","21.82K","0.05%"
"12/04/2020","1.1864","1.1847","1.1875","1.1829","20.96K","0.17%"
"12/03/2020","1.1844","1.1811","1.1848","1.1805","17.84K","0.29%"
"12/02/2020","1.1810","1.1795","1.1833","1.1794","11.98K","0.15%"
"12/01/2020","1.1792","1.1782","1.1817","1.1768","20.74K","0.12%"
"11/30/2020","1.1777","1.1785","1.1796","1.1753","11.09K","-0.02%"
"11/27/2020","1.1779","1.1788","1.1795","1.1771","18.82K","-0.04%"
"11/26/2020","1.1785","1.1782","1.1811","1.1779","17.87K","0.09%"
"11/25/2020","1.1774","1.1760","1.1794","1.1759","18.50K","0.14%"
"11/24/2020","1.1757","1.1770","1.1792","1.1757","18.20K","-0.09%"
"11/23/2020","1.1768","1.1813","1.1831","1.1769","14.35K","-0.34%"
"11/20/2020","1.1808","1.1777","1.1818","1.1774","11.68K","0.34%"
"11/19/2020","1.1768","1.1817","1.1818","1.1756","23.25K","-0.39%"
"11/18/2020","1.1814","1.1825","1.1855","1.1805","20.08K","-0.07%"
"11/17/2020","1.1822","1.1775","1.1841","1.1774","21.81K","0.43%"
"11/16/2020","1.1772","1.1737","1.1802","1.1736","23.30K","0.34%"
"11/13/2020","1.1732","1.1726","1.1740","1.1700","8.99K","0.07%"
"11/12/2020","1.1723","1.1695","1.1730","1.1688","24.55K","0.26%"
"11/11/2020","1.1692","1.1721","1.1762","1.1689","9.45K","-0.23%"
"11/10/2020","1.1719","1.1694","1.1752","1.1693","26.76K","0.24%"
