Ticker,Name,Sector,Industry,Industry Group,Market Cap,Last Reported Fiscal Year,FCF,FCF FQ-1,FCF FQ-2,FCF FQ-3,FCF FQ-4,FCF FQ-5,FCF FQ-6,FCF FQ-7,FCF FQ-8,FCF FQ-9,FCF FQ-10,FCF FQ-11,FCF FQ-12
2276,"Shanghai Conant Optical Co., Ltd.",Healthcare,Healthcare Equipment & Supplies,Healthcare Equipment & Services,256.5 M,2022,-,NA,NA,NA,0 K,0 K,0 K,0 K,0 K,0 K,0 K,0 K,0 K
6610,Flowing Cloud Technology Ltd,Communication Services,Media,Media,650.2 M,2022,-,NA,NA,-2.162 M,0 K,0 K,0 K,-1.724 M,0 K,0 K,0 K,0 K,0 K
2482,"Logory Logistics Technology Co., Ltd.",Industrials,Road & Rail,Transportation,493.6 M,2022,-1.664 M,NA,NA,2.842 M,0 K,0 K,0 K,0 K,0 K,0 K,0 K,0 K,0 K
1370_OLD,Aowei Holding Limited,Materials,Metals & Mining,Materials,160.4 M,2022,-,8.499 M,4.045 M,3.986 M,-14.871 M,-14.654 M,38.528 K,37.039 K,-11.026 M,-11 M,-4.376 M,-4.264 M,12.414 M
2459,Sanergy Group Limited,Industrials,Electrical Equipment,Capital Goods,222.9 M,2022,-4.194 M,-797.5 K,-1.299 M,-1.299 M,1.314 M,1.314 M,0 K,0 K,0 K,0 K,0 K,0 K,0 K
2118,Tian Shan Development (Holding) Limited,Real Estate,Real Estate Management & Development,Real Estate,252.4 M,-,122.3 M,NA,45.37 M,45.449 M,15.535 M,15.558 M,39.131 M,39.083 M,68.538 M,68.56 M,38.723 M,38.712 M,-5.877 M
1885,China Wood Optimization (Holding) Limited,Materials,Paper & Forest Products,Materials,114.7 M,-,-,NA,-5.516 M,-5.526 M,639.577 K,640.549 K,1.747 M,1.744 M,2.118 M,2.119 M,5.811 M,5.81 M,2.893 M
2341,EcoGreen International Group Limited,Materials,Chemicals,Materials,187.6 M,-,-,NA,2.566 M,2.571 M,0 K,0 K,4.187 M,4.182 M,2.698 M,0 K,-12.593 M,0 K,-22.5 M
530,Goldin Financial Holdings Limited,Consumer Staples,Beverages,"Food, Beverage & Tobacco",131.8 M,-,-401.6 M,3.668 M,-203.4 M,-203.7 M,35.594 M,35.648 M,-70.632 M,-70.545 M,-56.951 M,-56.969 M,-613.3 M,-613.1 M,-6.168 M
708,China Evergrande New Energy Vehicle Group Limited,Healthcare,Healthcare Providers & Services,Healthcare Equipment & Services,4.421 B,-,168.7 M,NA,-14.875 M,-14.9 M,99.43 M,99.581 M,-605 M,-604.3 M,-859.2 M,-859.5 M,-400.4 M,-400.3 M,-230 M
