Ticker,Name,Sector,Industry,Industry Group,Market Cap,Last Reported Fiscal Year,Revenue,Revenue FQ-1,Revenue FQ-2,Revenue FQ-3,Revenue FQ-4,Revenue FQ-5,Revenue FQ-6,Revenue FQ-7,Revenue FQ-8,Revenue FQ-9,Revenue FQ-10,Revenue FQ-11,Revenue FQ-12
1358,PW Medtech Group Limited,Healthcare,Healthcare Equipment & Supplies,Healthcare Equipment & Services,111.7 M,2022,52.559 M,16.895 M,10.85 M,10.692 M,10.337 M,10.186 M,11.169 M,10.737 M,7.185 M,7.168 M,13.635 M,13.285 M,12.547 M
1199,COSCO SHIPPING Ports Limited,Industrials,Transportation Infrastructure,Transportation,2.441 B,2022,1.402 B,375 M,329.7 M,347.6 M,295.8 M,299.5 M,265.3 M,277.9 M,270 M,232.1 M,220.5 M,255.1 M,254.7 M
635,Playmates Holdings Limited,Consumer Discretionary,Leisure Products,Consumer Durables & Apparel,166.2 M,2022,92.194 M,21.715 M,24.132 M,24.174 M,34.226 M,34.278 M,21.063 M,21.037 M,21.109 M,21.116 M,13.485 M,13.481 M,21.237 M
3330,Lingbao Gold Group Company Ltd.,Materials,Metals & Mining,Materials,135.4 M,2022,1.468 B,438.8 M,289.8 M,306.2 M,245.2 M,241.6 M,171.5 M,169 M,232.5 M,223.5 M,181.5 M,181.1 M,238 M
2231,JY Grandmark Holdings Limited,Real Estate,Real Estate Management & Development,Real Estate,251.7 M,2022,195.3 M,24.301 M,78.704 M,77.559 M,80.748 M,79.572 M,108.9 M,104.7 M,65.437 M,65.28 M,117.8 M,114.8 M,55.515 M
6199,"Bank of Guizhou Co., Ltd.",Financials,Banks,Banks,3.327 B,2022,1.154 B,327.4 M,263 M,296.5 M,329.2 M,324.4 M,306.1 M,294.3 M,281.4 M,280.8 M,281.3 M,274.1 M,261.8 M
9936,Ximei Resources Holding Limited,Materials,Metals & Mining,Materials,176.6 M,2022,132.4 M,37.041 M,32.826 M,32.349 M,26.831 M,26.44 M,21.773 M,20.932 M,22.461 M,22.407 M,21.339 M,20.791 M,22.098 M
3390,Tycoon Group Holdings Limited,Healthcare,Healthcare Providers & Services,Healthcare Equipment & Services,547.3 M,2022,139.7 M,37.545 M,32.592 M,32.642 M,24.513 M,24.483 M,20.791 M,20.797 M,11.846 M,11.843 M,18.516 M,18.409 M,26.383 M
1961,Infinities Technology International (Cayman) Holding Limited,Communication Services,Entertainment,Media,124.5 M,2022,18.941 M,3.406 M,6.586 M,6.491 M,2.416 M,2.381 M,5.39 M,5.182 M,7.063 M,7.046 M,6.951 M,8.066 M,8.239 M
1597,China Nature Energy Technology Holdings Limited,Industrials,Electrical Equipment,Capital Goods,111.1 M,2022,42.73 M,7.074 M,15.467 M,15.242 M,9.004 M,8.873 M,16.616 M,15.974 M,8.631 M,8.611 M,-,-,-
9677,"Weihai City Commercial Bank Co., Ltd.",Financials,Banks,Banks,2.346 B,2022,592.1 M,163.6 M,148.9 M,146.8 M,148.3 M,146.1 M,134.3 M,129.1 M,121.5 M,129.5 M,112.9 M,110 M,-
2169,Canggang Railway Limited,Industrials,Road & Rail,Transportation,328.7 M,2022,48.344 M,12.469 M,11.641 M,12.302 M,13.175 M,12.984 M,14.599 M,14.386 M,13.612 M,13.086 M,13.004 M,12.973 M,-
1084,Green Future Food Hydrocolloid Marine Science Company Limited,Materials,Chemicals,Materials,134.6 M,2022,184.3 M,49.652 M,42.872 M,42.937 M,31.853 M,31.814 M,28.938 M,28.947 M,27.642 M,27.635 M,36.417 M,36.206 M,30.097 M
1967,Confidence Intelligence Holdings Limited,Information Technology,"Electronic Equipment, Instruments & Components",Technology Hardware & Equipment,738.9 M,2022,44.273 M,10.021 M,13.34 M,13.146 M,14.274 M,14.067 M,10.922 M,10.5 M,7.356 M,7.338 M,11.151 M,10.865 M,9.415 M
1853,Jilin Province Chuncheng Heating Company Limited,Utilities,Water Utilities,Utilities,115.9 M,2022,247.5 M,69.989 M,60.407 M,59.528 M,68.058 M,67.068 M,97.085 M,93.32 M,44.554 M,44.447 M,64.567 M,62.861 M,16.572 M
1876,Budweiser Brewing Company APAC Limited,Consumer Staples,Beverages,"Food, Beverage & Tobacco",40.082 B,2022,6.478 B,1.86 B,1.821 B,1.632 B,1.429 B,1.882 B,1.851 B,1.626 B,1.19 B,1.823 B,1.619 B,956 M,1.202 B
3886,Town Health International Medical Group Limited,Healthcare,Healthcare Providers & Services,Healthcare Equipment & Services,280.4 M,2022,187.7 M,45.375 M,48.862 M,48.937 M,46.493 M,46.436 M,40.754 M,40.767 M,28.202 M,28.194 M,34.908 M,34.706 M,37.439 M
6913,South China Vocational Education Group Company Limited,Consumer Discretionary,Diversified Consumer Services,Consumer Services,244.7 M,2022,71.36 M,20.861 M,16.804 M,16.559 M,22.15 M,21.827 M,16.359 M,15.727 M,16.685 M,16.645 M,-,-,-
2215,Dexin Services Group Limited,Real Estate,Real Estate Management & Development,Real Estate,333.9 M,2022,134.2 M,38.257 M,32.572 M,32.098 M,35.343 M,34.829 M,32.206 M,30.962 M,19.238 M,19.192 M,-,-,-
