Ticker,Name,Sector,Industry,Industry Group,Market Cap,Last Reported Fiscal Year,EBITDA,EBITDA FQ-1,EBITDA FQ-2,EBITDA FQ-3,EBITDA FQ-4,EBITDA FQ-5,EBITDA FQ-6,EBITDA FQ-7,EBITDA FQ-8,EBITDA FQ-9,EBITDA FQ-10,EBITDA FQ-11,EBITDA FQ-12
3869,Hospital Corporation of China Limited,Healthcare,Healthcare Providers & Services,Healthcare Equipment & Services,135.6 M,2022,15.537 M,2.57 M,5.595 M,5.514 M,6.003 M,5.915 M,12.899 M,12.401 M,5.384 M,5.371 M,7.416 M,7.225 M,8.065 M
609,Tiande Chemical Holdings Limited,Materials,Chemicals,Materials,271.4 M,2022,186.8 M,60.35 M,38.33 M,37.773 M,14.852 M,14.635 M,2.511 M,2.414 M,7.927 M,7.908 M,4.311 M,4.201 M,6.881 M
1899,Xingda International Holdings Limited,Consumer Discretionary,Auto Components,Automobiles & Components,338.4 M,2022,142.3 M,45.073 M,30.05 M,29.613 M,51.809 M,51.055 M,29.536 M,28.395 M,32.486 M,32.408 M,31.839 M,31.022 M,34.892 M
3300,China Glass Holdings Limited,Industrials,Building Products,Capital Goods,231.6 M,2022,205.4 M,34.413 M,73.949 M,72.873 M,53.559 M,52.779 M,38.34 M,36.859 M,2.28 M,2.275 M,16.503 M,16.08 M,2.452 M
471,Silkwave Inc,Communication Services,Media,Media,112.1 M,2022,-640 K,117 K,-369.25 K,-346.667 K,-275 K,-275 K,-1.191 M,-1.191 M,-10.5 K,-10.5 K,-500.5 K,-500.5 K,-470 K
1919,"COSCO SHIPPING Holdings Co., Ltd.",Industrials,Marine,Transportation,22.353 B,2022,24.597 B,8.006 B,6.423 B,5.774 B,7.219 B,4.673 B,3.139 B,1.491 B,809 M,424.2 M,340 M,327.5 M,438.3 M
3339,Lonking Holdings Limited,Industrials,Machinery,Capital Goods,736.1 M,2022,106.6 M,29.83 M,26.423 M,26.039 M,65.069 M,64.121 M,71.102 M,68.355 M,65.741 M,65.583 M,53.196 M,51.831 M,71.591 M
2007,Country Garden Holdings Company Limited,Real Estate,Real Estate Management & Development,Real Estate,7.807 B,2022,5.9 B,725.5 M,2.343 B,2.309 B,2.46 B,2.424 B,3.028 B,2.911 B,2.28 B,2.275 B,4.044 B,3.94 B,2.705 B
2886,Binhai Investment Company Limited,Utilities,Gas Utilities,Utilities,301.4 M,2022,84.697 M,14.742 M,28.069 M,28.118 M,19.051 M,19.079 M,27.766 M,27.731 M,13.359 M,13.364 M,22.736 M,22.729 M,12.849 M
811,"Xinhua Winshare Publishing and Media Co., Ltd.",Consumer Discretionary,Distributors,Retailing,1.501 B,2022,185.4 M,62.538 M,32.96 M,76.892 M,26.353 M,57.24 M,35.126 M,72.06 M,35.152 M,33.73 M,24.337 M,38.156 M,22.052 M
