Ticker,Name,Sector,Industry,Industry Group,Market Cap,Last Reported Fiscal Year,Quick-Ratio,Quick-Ratio FQ-1,Quick-Ratio FQ-2,Quick-Ratio FQ-3,Quick-Ratio FQ-4,Quick-Ratio FQ-5,Quick-Ratio FQ-6,Quick-Ratio FQ-7,Quick-Ratio FQ-8,Quick-Ratio FQ-9,Quick-Ratio FQ-10,Quick-Ratio FQ-11,Quick-Ratio FQ-12
1578,"Bank of Tianjin Co., Ltd.",Financials,Banks,Banks,1.415 B,2022,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x
85,China Electronics Huada Technology Company Limited,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,395.6 M,2022,1.0x,1.0x,1.2x,1.2x,1.3x,1.3x,1.3x,1.3x,0.5x,0.5x,0.5x,0.5x,0.5x
1045,APT Satellite Holdings Limited,Communication Services,Diversified Telecommunication Services,Telecommunication Services,294.5 M,2022,-,NA,6.6x,6.6x,6.6x,6.6x,6.2x,6.2x,5.1x,5.1x,4.4x,4.4x,4.4x
62,Transport International Holdings Limited,Industrials,Road & Rail,Transportation,640.1 M,2022,-,NA,0.9x,0.9x,0.7x,0.7x,0.6x,0.6x,0.8x,0.8x,1.1x,1.1x,1.4x
1393,Hidili Industry International Development Limited,Energy,"Oil, Gas & Consumable Fuels",Energy,119.9 M,2022,0.1x,0.1x,0.0x,0.0x,0.0x,0.0x,0.0x,0.0x,0.0x,0.0x,0.0x,0.0x,0.0x
3838,China Starch Holdings Limited,Consumer Staples,Food Products,"Food, Beverage & Tobacco",163.4 M,2022,1.6x,1.6x,1.2x,1.2x,1.5x,1.5x,0.6x,0.6x,0.9x,0.9x,0.8x,0.8x,1.0x
295,Kong Sun Holdings Limited,Utilities,Independent Power & Renewable Electricity Producers,Utilities,143 M,2022,1.0x,1.0x,0.9x,0.9x,1.0x,1.0x,0.4x,0.4x,1.4x,1.4x,0.7x,0.7x,1.0x
607,Fullshare Holdings Limited,Industrials,Electrical Equipment,Capital Goods,378.3 M,2022,0.5x,0.5x,0.5x,0.5x,0.5x,0.5x,0.6x,0.6x,0.6x,0.6x,0.6x,0.6x,0.6x
776,Imperium Technology Group Limited,Consumer Discretionary,Household Durables,Consumer Durables & Apparel,177.9 M,2022,0.4x,0.4x,0.3x,0.3x,0.8x,0.8x,0.4x,0.4x,0.6x,0.6x,0.8x,0.8x,0.8x
887,Emperor Watch & Jewellery Limited,Consumer Discretionary,Specialty Retail,Retailing,150.3 M,2022,-,NA,1.5x,1.5x,1.1x,1.1x,0.8x,0.8x,0.5x,0.5x,0.3x,0.3x,0.4x
993,Huarong International Financial Holdings Limited,Financials,Capital Markets,Diversified Financials,105.4 M,2022,1.7x,1.7x,1.4x,1.4x,1.1x,1.1x,0.9x,0.9x,0.8x,0.8x,1.2x,1.2x,0.9x
2878,Solomon Systech (International) Limited,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,158.9 M,2022,-,NA,1.2x,1.2x,0.9x,0.9x,2.1x,2.1x,2.2x,2.2x,2.0x,2.0x,1.6x
1176,Zhuguang Holdings Group Company Limited,Real Estate,Real Estate Management & Development,Real Estate,708.8 M,2022,0.8x,0.8x,0.9x,0.9x,0.5x,0.5x,0.6x,0.6x,0.2x,0.2x,0.7x,0.7x,0.7x
240,Build King Holdings Limited,Industrials,Construction & Engineering,Capital Goods,159.8 M,2022,1.2x,1.2x,1.1x,1.1x,1.0x,1.0x,1.1x,1.1x,1.1x,1.1x,1.1x,1.1x,1.0x
